geom,scalerank,featurecla,type,name,abbrev,location,gps_code,iata_code,wikipedia,natlscale,comments,wikidataid,name_ar,name_bn,name_de,name_en,name_es,name_fr,name_el,name_hi,name_hu,name_id,name_it,name_ja,name_ko,name_nl,name_pl,name_pt,name_ru,name_sv,name_tr,name_vi,name_zh,wdid_score,ne_id
"POINT (-80.7957747817105 46.6227508204893)","6",Airport,mid,Sudbury,YSB,terminal,CYSB,YSB,http://en.wikipedia.org/wiki/Sudbury_Airport,20.000,,Q3502265,,,,Sudbury Airport,Aeropuerto de Sudbury,aéroport de Sudbury,,,,,,サドバリー空港,,,Port lotniczy Sudbury,,,Greater Sudbury Airport,,,,"4","1159123071"
"POINT (-65.8905573681168 45.3292305955017)","6",Airport,mid,Saint John,YSJ,terminal,CYSJ,YSJ,http://en.wikipedia.org/wiki/Saint_John_Airport,20.000,,Q2748237,,,,Saint John Airport,Aeropuerto de Saint John,aéroport de Saint-Jean,,,,Bandar Udara Saint John,,セントジョン空港,,,Port lotniczy Saint John,,,Saint John,,,,"4","1159123087"
"POINT (-122.674014743986 53.8842485751138)","6",Airport,mid,Prince George,YXS,terminal,CYXS,YXS,http://en.wikipedia.org/wiki/Prince_George_Airport,20.000,,Q779571,,,Flughafen Prince George,Prince George Airport,Aeropuerto de Prince George,aéroport de Prince George,,,,Bandar Udara Prince George,,プリンスジョージ,,,Port lotniczy Prince George,,,Prince George Airport,,,喬治皇子城機場,"4","1159123103"
"POINT (-123.430624539528 48.640529482179)","6",Airport,major,Victoria Int'l,YYJ,terminal,CYYJ,YYJ,http://en.wikipedia.org/wiki/Victoria_International_Airport,20.000,,Q130193,,,Internationaler Flughafen Victoria,Victoria International Airport,Aeropuerto Internacional de Victoria,aéroport international de Victoria,,,,Bandar Udara Internasional Victoria,Aeroporto Internazionale di Victoria,ビクトリア国際空港,,Victoria International Airport,Port lotniczy Victoria,,,Victoria International Airport,,Sân bay quốc tế Victoria,维多利亚国际机场,"4","1159123119"
"POINT (122.062432321637 6.9197577480583)","6",Airport,mid,Zamboanga Int'l,ZAM,terminal,RPMZ,ZAM,http://en.wikipedia.org/wiki/Zamboanga_International_Airport,20.000,,Q1200033,مطار زامبوانجا الدولي,,Flughafen Zamboanga,Zamboanga International Airport,Aeropuerto Internacional de Zamboanga,Aéroport international de Zamboanga,,,,Bandar Udara Internasional Zamboanga,aeroporto internazionale di Zamboanga,サンボアンガ国際空港,삼보앙가 국제공항,Zamboanga International Airport,Port lotniczy Zamboanga,,,,,Sân bay quốc tế Zamboanga,三寶顏機場,"4","1159123129"
"POINT (103.615415363043 36.5078842461237)","6",Airport,mid,Lanzhou Zhongchuan,ZGC,terminal,ZLLL,ZGC,http://en.wikipedia.org/wiki/Lanzhou_Zhongchuan_Airport,20.000,,Q3234734,مطار لانتشو تشونغ تشوان,,,Lanzhou Zhongchuan International Airport,,aéroport de Lanzhou Zhongchuan,,,,,,蘭州中川空港,,Lanzhou Zhongchuan International Airport,Port lotniczy Lanzhou-Zhongchuan,,,Lanzhou Zhongchuan Airport,,Sân bay Trung Xuyên Lan Châu,兰州中川机场,"4","1159123147"
"POINT (-73.8093518843173 42.7456619801729)","6",Airport,mid,Albany Int'l,ALB,terminal,KALB,ALB,http://en.wikipedia.org/wiki/Albany_International_Airport,20.000,,Q1430745,,,Albany International Airport,Albany International Airport,Aeropuerto Internacional de Albany,Albany International Airport,,,,,,オールバニ国際空港,,Albany International Airport,Port lotniczy Albany,,,,,Sân bay quốc tế Albany,奧爾巴尼國際機場,"4","1159123169"
"POINT (-87.9021056250744 42.9479198729586)","6",Airport,major,General Mitchell Int'l,MKE,terminal,KMKE,MKE,http://en.wikipedia.org/wiki/General_Mitchell_International_Airport,20.000,,Q537950,,,General Mitchell International Airport,General Mitchell International Airport,Aeropuerto Internacional General Mitchell,aéroport international General Mitchell de Milwaukee,,,,,Aeroporto Internazionale Generale Mitchell,ジェネラル・ミッチェル国際空港,,General Mitchell International Airport,Port lotniczy Milwaukee,,Милуоки,,,Sân bay quốc tế General Mitchell,密爾瓦基,"4","1159123177"
"POINT (114.24694737615 30.6017141196702)","6",Airport,military mid,Wang-Chia Tun Airbase,ZHHH,runway,,,,20.000,"""To replace the old Wangjiadun Airport, Chinese government permitted the plan to build a commercial airport in Tianhe County, Huangpi District, Wuhan at July 1st, 1985. The first term construction started in December 1989 and finished in April 1994. It f",Q601091,مطار ووهان الدولي,,Flughafen Wuhan,Wuhan Tianhe International Airport,Aeropuerto Internacional de Wuhan Tiahne,aéroport international de Wuhan Tianhe,,,Vuhan-Tienho nemzetközi repülőtér,Bandar Udara Internasional Tianhe Wuhan,,武漢天河国際空港,우한 톈허 국제공항,Internationale Luchthaven van Wuhan Tianhe,Port lotniczy Wuhan-Tianhe,Aeroporto Internacional de Wuhan Tianhe,,Wuhan Tianhe International Airport,,Sân bay quốc tế Thiên Hà Vũ Hán,武汉天河国际机场,"5","1159123197"
"POINT (109.40823949108 18.3090959908593)","6",Airport,major,Sanya Phoenix Int'l,SYX,terminal,ZJSY,SYX,http://en.wikipedia.org/wiki/Sanya_Phoenix_International_Airport,20.000,,Q684964,مطار سانيا فينيكس الدولية,,Flughafen Sanya,Sanya Phoenix International Airport,,aéroport international de Sanya Phénix,,,,,,三亜鳳凰国際空港,싼야 펑황 국제공항,Sanya Phoenix International Airport,Port lotniczy Sanya-Phoenix,Aeroporto Internacional de Sanya Phoenix,,Sanya Phoenix International Airport,,Sân bay quốc tế Phượng Hoàng Tam Á,三亚凤凰国际机场,"4","1159123211"
"POINT (90.9005610194027 29.2936936123184)","6",Airport,mid,Lhasa Gonggar,LXA,terminal,ZULS,LXA,http://en.wikipedia.org/wiki/Lhasa_Gonggar_Airport,20.000,,Q786209,مطار لاسا الدولي,,Flughafen Lhasa-Gonggar,Lhasa Gonggar Airport,Aeropuerto de Lhasa Gonggar,aéroport de Lhassa Gonggar,,,Lhásza-Gonkar repülőtér,Bandar Udara Lhasa Gonggar,,ラサ・クンガ空港,라싸 공가 공항,Luchthaven Lhasa Gonggar,Port lotniczy Lhasa-Gonggar,Aeroporto de Lhasa Gonggar,Гонггар,Lhasa Gonggar Airport,,Sân bay Gonggar Lhasa,拉萨贡嘎机场,"4","1159123223"
"POINT (79.8723005212191 37.0400363509765)","6",Airport,mid,Hotan,HTN,terminal,ZWTN,HTN,http://en.wikipedia.org/wiki/Hotan_Airport,20.000,,Q2983967,مطار هوتان,,,Hotan Airport,Aeropuerto de Jotán,,,,,,,ホータン空港,,Hotan Airport,Port lotniczy Hotan,,Хотан,Hotan Airport,,,和田机场,"4","1159123235"
"POINT (13.7649671440047 51.1250912428871)","6",Airport,major,Dresden,DRS,terminal,EDDC,DRS,http://en.wikipedia.org/wiki/Dresden_Airport,20.000,,Q657005,,,Flughafen Dresden,Dresden Airport,Aeropuerto de Dresde,aéroport de Dresde,,,Drezdai repülőtér,,Aeroporto di Dresda,ドレスデン空港,,Luchthaven Dresden,Port lotniczy Drezno,,Дрезден,Dresdens flygplats,,Sân bay Dresden,德累斯顿机场,"4","1159123251"
"POINT (-6.597753628116 34.2986673638223)","6",Airport,military major,Kenitra Air Base,NNA,terminal,GMMY,NNA,http://en.wikipedia.org/wiki/Kenitra_Air_Base,20.000,,Q2876099,قاعدة القنيطرة الجوية,,,Kenitra Air Base,,aéroport militaire de Kénitra,,,,,,ケニトラ空軍基地,,,Baza Lotnicza Al-Kunajtira,,,Kenitra Air Base,,,,"4","1159123267"
"POINT (6.26491085364159 46.1957283286261)","6",Airport,mid,Annemasse,QNJ,ramp,LFLI,QNJ,http://en.wikipedia.org/wiki/Annemasse_Aerodrome,20.000,,Q2875375,,,,Annemasse Aerodrome,,aérodrome d'Annemasse,,,,,,,,,,,,,,,,"4","1159123277"
"POINT (-110.972721301675 31.2255371741159)","6",Airport,mid,Nogales Int'l,NOG,terminal,MMNG,NOG,http://en.wikipedia.org/wiki/Nogales_International_Airport_(Mexico),20.000,,Q6586771,,,,Nogales International Airport,Aeropuerto Internacional de Nogales,,,,,Bandar Udara Internasional Nogales,,ノガレス国際空港,,,,,,,,,,"4","1159123287"
"POINT (7.62784196688924 48.5446961721759)","6",Airport,mid,Strasbourg,SXB,terminal,LFST,SXB,http://en.wikipedia.org/wiki/Strasbourg_Airport,20.000,,Q1165367,مطار ستراسبورغ,,Flughafen Straßburg,Strasbourg Airport,Aeropuerto de Estrasburgo,aéroport de Strasbourg Entzheim,,,,Bandar Udara Strasbourg Entzheim,Aeroporto di Strasburgo-Entzheim,ストラスブール国際空港,,Luchthaven Straatsburg,Port lotniczy Strasburg,Aeroporto de Strasbourg Entzheim,Страсбург,,Strazburg Havalimanı,Sân bay Strasbourg,斯特拉斯堡国际机场,"4","1159123303"
"POINT (7.12235975524539 50.8782596629471)","6",Airport,major,Cologne/Bonn,CGN,terminal,EDDK,CGN,http://en.wikipedia.org/wiki/Cologne_Bonn_Airport,20.000,,Q157741,مطار كولونيا بون الدولي,,Flughafen Köln/Bonn,Cologne Bonn Airport,Aeropuerto de Colonia/Bonn,aéroport Konrad-Adenauer,,,Köln/Bonn repülőtér,Bandar Udara Internasional Cologne/Bonn,Aeroporto di Colonia/Bonn,ケルン・ボン空港,쾰른 본 공항,Luchthaven Keulen-Bonn,Port lotniczy Kolonia/Bonn,Aeroporto de Colônia-Bonn,Кёльн/Бонн,Köln-Bonns flygplats,Köln Bonn Havalimanı,Sân bay Köln/Bonn,科隆/波恩機場,"4","1159123317"
"POINT (128.948801379039 35.1702840636829)","6",Airport,major,Kimhae Int'l,PUS,terminal,RKPK,PUS,http://en.wikipedia.org/wiki/Gimhae_International_Airport,20.000,,Q483223,,,Flughafen Gimhae,Gimhae International Airport,Aeropuerto Internacional de Gimhae,aéroport international de Gimhae,,,,Bandar Udara Internasional Gimhae,aeroporto Internazionale di Gimhae,金海国際空港,김해국제공항,Luchthaven Gimhae,Port lotniczy Pusan-Kimhae,Aeroporto Internacional de Gimhae,Кимхэ,Gimhae International Airport,Gimhae Uluslararası Havalimanı,Sân bay quốc tế Gimhae,金海国际机场,"2","1159123337"
"POINT (126.491629401972 33.5247173150399)","6",Airport,major,Jeju Int'l,CJU,terminal,RKPC,CJU,http://en.wikipedia.org/wiki/Jeju_International_Airport,20.000,,Q482497,,,Flughafen Jeju,Jeju International Airport,Aeropuerto Internacional de Jeju,aéroport international de Jeju,,,,Bandar Udara Internasional Jeju,Aeroporto Internazionale di Jeju,済州国際空港,제주국제공항,Internationale luchthaven Jeju,Port lotniczy Czedżu,Aeroporto Internacional de Jeju,Чеджу,Jeju International Airport,Jeju Uluslararası Havalimanı,Sân bay quốc tế Jeju,濟州國際機場,"4","1159123353"
"POINT (5.6298103297218 58.8821564842185)","6",Airport,major,Stavanger Sola,SVG,terminal,ENZV,SVG,"http://en.wikipedia.org/wiki/Stavanger_Airport,_Sola",20.000,,Q1355258,,,Flughafen Stavanger,Stavanger Airport,Aeropuerto de Stavanger-Sola,aéroport de Stavanger,Αεροδρόμιο του Στάβανγκερ,,,,Aeroporto di Stavanger-Sola,スタヴァンゲル空港,,Luchthaven Stavanger Sola,Port lotniczy Stavanger,Aeroporto de Stavanger,,Stavanger flygplats,,Sân bay Stavanger,斯塔萬格,"4","1159123367"
"POINT (10.9168095241445 63.472029381717)","6",Airport,major,Trondheim Vaernes,TRD,terminal,ENVA,TRD,http://en.wikipedia.org/wiki/Trondheim_Airport%2C_V%C3%A6rnes,20.000,,Q729886,مطار تروندهايم، فارنيس,,Flughafen Trondheim,Trondheim Airport,Aeropuerto de Trondheim-Værnes,aéroport de Trondheim Værnes,,,,,Aeroporto di Trondheim-Værnes,トロンハイム空港,,Trondheim Airport,Port lotniczy Trondheim-Værnes,,,Trondheim flygplats,,Sân bay Trondheim,特隆赫姆,"4","1159123387"
"POINT (-57.6636078925543 -19.0141662885534)","6",Airport,mid,Corumbá Int'l,CMG,terminal,SBCR,CMG,http://en.wikipedia.org/wiki/Corumba_International_Airport,20.000,,Q1657573,,,Flughafen Corumbá,Corumbá International Airport,,,,,,,,コルンバ,,,Port lotniczy Corumbá,Aeroporto Internacional de Corumbá,,,,Sân bay quốc tế Corumbá,科倫巴國際機場,"4","1159123405"
"POINT (-16.7756374531213 32.6933642847489)","6",Airport,mid,Madeira,FNC,terminal,LPMA,FNC,http://en.wikipedia.org/wiki/Madeira_Airport,20.000,,Q639161,مطار ماديرا,,Flughafen Madeira,Cristiano Ronaldo Airport,Aeropuerto de Madeira,aéroport de Funchal,,,Cristiano Ronaldo nemzetközi repülőtér,Bandar Udara Madeira,Aeroporto di Madera,マデイラ空港,마데이라 공항,Luchthaven van Madeira,Port lotniczy Madera,Aeroporto da Madeira,Мадейра,Madeira flygplats,,Sân bay Madeira,馬德拉機場,"4","1159123417"
"POINT (-54.4885922735633 -25.5976832162102)","6",Airport,mid,Foz do Iguaçu Int'l,IGU,terminal,SBFI,IGU,http://en.wikipedia.org/wiki/Foz_do_Igua%C3%A7u_International_Airport,20.000,,Q1431328,,,Flughafen Cataratas,Foz do Iguaçu International Airport,Aeropuerto Internacional de Foz do Iguaçu,,,,,Bandar Udara Internasional Foz do Iguaçu,,フォス・ド・イグアス国際空港,포스두이구아수 국제공항,Luchthaven Cataratas International,Port lotniczy Foz do Iguaçu,Aeroporto Internacional de Foz do Iguaçu,Фос-ду-Игуасу,Foz do Iguaçu / Cataratas International Airport,,Sân bay quốc tế Foz do Iguaçu,伊瓜蘇,"4","1159123433"
"POINT (-63.8984625004213 -8.71442482859288)","6",Airport,mid,Gov. Jorge Teixeira de Oliveira Int'l,PVH,terminal,SBPV,PVH,http://en.wikipedia.org/wiki/Governador_Jorge_Teixeira_de_Oliveira_International_Airport,20.000,,Q1153219,,,Flughafen Governador Jorge Teixeira De Oliveira,Governador Jorge Teixeira de Oliveira International Airport,,,,,,,,ポルトベリョ,,Luchthaven Jorge Teixeira de Oliveira International,Port lotniczy Porto Velho,Aeroporto Internacional de Porto Velho,Порту-Велью,Governador Jorge Teixeira de Oliveira International Airport,,Sân bay quốc tế Governador Jorge Teixeira de Oliveira,,"4","1159123449"
"POINT (-2.90609011679805 43.3050829811195)","6",Airport,mid,Bilbao,BIO,terminal,LEBB,BIO,http://en.wikipedia.org/wiki/Bilbao_Airport,20.000,,Q598197,مطار بلباو,,Flughafen Bilbao,Bilbao Airport,Aeropuerto de Bilbao,aéroport international de Bilbao,,,,Bandar Udara Bilbao,Aeroporto di Bilbao,ビルバオ空港,,Luchthaven Bilbao,Port lotniczy Bilbao,Aeroporto de Bilbau,Бильбао,Bilbao Airport,Bilbao Havalimanı,Sân bay Bilbao,畢爾包機場,"4","1159123469"
"POINT (2.72997660200647 39.5657758586254)","6",Airport,major,Palma de Mallorca,PMI,terminal,LEPA,PMI,http://en.wikipedia.org/wiki/Palma_de_Mallorca_Airport,20.000,,Q656993,مطار بالما دي مايوركا,,Flughafen Palma de Mallorca,Palma de Mallorca Airport,Aeropuerto de Palma de Mallorca,aéroport de Palma de Majorque,,,Palma de Mallorca nemzetközi repülőtér,Bandar Udara Son Sant Joan,Aeroporto di Palma di Maiorca,パルマ・デ・マリョルカ空港,,Luchthaven Palma de Mallorca,Port lotniczy Palma de Mallorca,Aeroporto Internacional de Palma de Maiorca,Пальма-де-Майорка,Palma de Mallorca flygplats,Palma de Mallorca Havalimanı,Sân bay Palma de Mallorca,马略卡岛帕尔马机场,"4","1159123487"
"POINT (-16.3463175679264 28.4875770267731)","6",Airport,major,Tenerife N.,TFN,terminal,GCXO,TFN,http://en.wikipedia.org/wiki/Los_Rodeos_Airport,20.000,,Q932514,مطار تنريف الشمالي,,Flughafen Teneriffa Nord,Tenerife North Airport,Aeropuerto de Tenerife Norte,aéroport de Ténérife-Nord,,,,Bandar Udara Internasional Los Rodeos,Aeroporto di Tenerife-Nord,テネリフェ・ノルテ空港,로스로데오스 공항,Luchthaven Tenerife Noord,Port lotniczy Aeropuerto de Tenerife Norte,Aeroporto de Tenerife Norte,Лос-Родеос,Teneriffas norra flygplats,Tenerife Kuzey Havalimanı,Sân bay Tenerife Norte,北特內里費機場,"4","1159123501"
"POINT (12.2938269092573 57.6857493534879)","6",Airport,major,Gothenburg,GOT,terminal,ESGG,GOT,http://en.wikipedia.org/wiki/Gothenburg-Landvetter_Airport,20.000,,Q1137115,,,Flughafen Göteborg/Landvetter,Gothenburg-Landvetter Airport,Aeropuerto de Gotemburgo-Landvetter,aéroport de Göteborg-Landvetter,,,,,Aeroporto di Göteborg-Landvetter,ヨーテボリ・ランドヴェッテル空港,,Luchthaven Göteborg-Landvetter,Port lotniczy Göteborg-Landvetter,Aeroporto de Gotemburgo-Landvetter,Гётеборг-Ландветтер,Göteborg-Landvetter Airport,,Sân bay Göteborg-Landvetter,哥德堡－蘭德維特機場,"4","1159123513"
"POINT (22.1230271243945 65.5490362477616)","6",Airport,major,Lulea,LLA,terminal,ESPA,LLA,http://en.wikipedia.org/wiki/Lule%C3%A5_Airport,20.000,,Q1431971,,,Flughafen Luleå,Luleå Airport,Aeropuerto de Luleå,aéroport de Luleå,,,,,,ルレオ空港,,Luleå Airport,Port lotniczy Luleå,,Лулео,Luleå Airport,,Sân bay Luleå,呂勒奧,"4","1159123529"
"POINT (54.6463293225558 24.4272271529764)","6",Airport,major,Abu Dhabi Int'l,AUH,terminal,OMAA,AUH,http://en.wikipedia.org/wiki/Abu_Dhabi_International_Airport,20.000,,Q643562,مطار أبوظبي الدولي,আবুধাবি আন্তর্জাতিক বিমানবন্দর,Flughafen Abu Dhabi,Abu Dhabi International Airport,Aeropuerto Internacional de Abu Dabi,aéroport international d'Abou Dabi,,अबु धाबी अन्तर्राष्ट्रीय विमानक्षेत्र,,Bandar Udara Internasional Abu Dhabi,Aeroporto Internazionale di Abu Dhabi,アブダビ国際空港,아부다비 국제공항,Abu Dhabi International Airport,Port lotniczy Abu Zabi,Aeroporto Internacional de Abu Dhabi,Абу-Даби,Abu Dhabi International Airport,Abu Dabi Havalimanı,Sân bay quốc tế Abu Dhabi,阿布扎比國際機場,"4","1159123541"
"POINT (6.62194665181219 36.2834409441601)","6",Airport,mid,Mohamed Boudiaf Int'l,CZL,terminal,DABC,CZL,http://en.wikipedia.org/wiki/Mohamed_Boudiaf_International_Airport,20.000,,Q2510194,مطار قسنطينة - محمد بوضياف,,Flughafen Constantine,Mohamed Boudiaf International Airport,Aeropuerto Internacional Mohamed Boudiaf,aéroport de Constantine - Mohamed Boudiaf,,,,Bandar Udara Internasional Mohamed Boudiaf,Aeroporto di Costantina-Mohamed Boudiaf,コンスタンティン,,Luchthaven Mohamed Boudiaf,Port lotniczy Konstantyna,,,Mohamed Boudiaf International Airport,,Sân bay quốc tế Mohamed Boudiaf,君士坦丁,"4","1159123557"
"POINT (32.8244372462973 23.9682765441778)","6",Airport,mid,Aswan Int'l,ASW,terminal,HESN,ASW,http://en.wikipedia.org/wiki/Aswan_International_Airport,20.000,,Q752537,مطار أسوان الدولي,,Aswan International Airport,Aswan International Airport,Aeropuerto Internacional de Asuán,aéroport d'Assouan,,,Asszuáni nemzetközi repülőtér,Bandar Udara Daraw,,アスワン国際空港,,Luchthaven Aswan,Port lotniczy Asuan,Aeroporto Internacional de Assuão,,Aswan International Airport,,Sân bay quốc tế Aswan,阿斯旺國際機場,"4","1159123573"
"POINT (25.8294409760452 66.5595564168509)","6",Airport,mid,Rovaniemi,RVN,terminal,EFRO,RVN,http://en.wikipedia.org/wiki/Rovaniemi_Airport,20.000,,Q1323139,,,Flughafen Rovaniemi,Rovaniemi Airport,Aeropuerto de Rovaniemi,aéroport de Rovaniemi,,,,,Aeroporto di Rovaniemi,ロヴァニエミ空港,,Rovaniemi Airport,Port lotniczy Rovaniemi,,Рованиеми,Rovaniemi flygplats,Rovaniemi Havalimanı,Sân bay Rovaniemi,罗瓦涅米机场,"4","1159123589"
"POINT (-58.2541191925889 6.49855290813572)","6",Airport,mid,Cheddi Jagan Int'l,GEO,terminal,SYCJ,GEO,http://en.wikipedia.org/wiki/Cheddi_Jagan_International_Airport,20.000,,Q1333912,,,Flughafen Georgetown,Cheddi Jagan International Airport,Aeropuerto Internacional Cheddi Jagan,aéroport international Cheddi Jagan,,,,Bandar Udara Internasional Cheddi Jagan,,チェディ・ジェーガン国際空港,체디 차카 국제공항,Luchthaven Cheddi Jagan,Port lotniczy Georgetown,Aeroporto Internacional Cheddi Jagan,,Cheddi Jagan International Airport,,Sân bay quốc tế Cheddi Jagan,喬治敦國際機場,"4","1159123603"
"POINT (76.3905198502024 10.1551187628118)","6",Airport,major,Cochin Int'l,COK,terminal,VOCI,COK,http://en.wikipedia.org/wiki/Cochin_International_Airport,20.000,,Q592172,مطار كوتشين,,Flughafen Kochi,Cochin International Airport,Aeropuerto Internacional de Cochin,aéroport international Cochin,,कोचीन अंतर्राष्ट्रीय विमानक्षेत्र,,,Aeroporto Internazionale di Kochi,コーチン国際空港,,Cochin International Airport,Port lotniczy Koczin,,Кочин,Cochin International Airport,,Sân bay quốc tế Cochin,柯枝国际机场,"4","1159123615"
"POINT (35.2236930658301 0.40507147546036)","6",Airport,mid,Eldoret Int'l,EDL,terminal,HKEL,EDL,http://en.wikipedia.org/wiki/Eldoret_International_Airport,20.000,,Q1258402,,,,Eldoret International Airport,Aeropuerto Internacional de Eldoret,aéroport d'Eldoret,,,,Bandar Udara Internasional Eldoret,,エルドレット,,Luchthaven Eldoret Internationaal,Port lotniczy Eldoret,,,Eldoret International Airport,,Sân bay quốc tế Eldoret,埃尔多雷特国际机场,"4","1159123629"
"POINT (126.450875980796 37.4492088624346)","6",Airport,major,Incheon Int'l,ICN,terminal,RKSI,ICN,http://en.wikipedia.org/wiki/Incheon_International_Airport,20.000,,Q20932,مطار إنتشون الدولي,ইনছন আন্তর্জাতিক বিমানবন্দর,Flughafen Incheon,Incheon International Airport,Aeropuerto Internacional de Incheon,aéroport international d'Incheon,,इंचेयन अन्तर्राष्ट्रीय विमानक्षेत्र,Incshoni nemzetközi repülőtér,Bandar Udara Internasional Incheon,Aeroporto Internazionale Incheon,仁川国際空港,인천국제공항,Incheon International Airport,Port lotniczy Seul-Inczhon,Aeroporto Internacional de Incheon,Инчхон,Incheon International Airport,Incheon Uluslararası Havalimanı,Sân bay quốc tế Incheon,仁川國際機場,"4","1159123643"
"POINT (-107.469863792896 24.7668040390461)","6",Airport,mid,Federal de Bachigualato Int'l,CUL,terminal,MMCL,CUL,http://en.wikipedia.org/wiki/Federal_de_Bachigualato_International_Airport,20.000,,Q2231716,,,,Federal de Bachigualato International Airport,Aeropuerto Internacional Federal de Culiacán,,,,,Bandar Udara Internasional Federal de Bachigualato,,クリアカン国際空港,,,Port lotniczy Culiacán,,,Federal de Bachigualato International Airport,,Sân bay quốc tế Federal de Bachigualato,Bachigualato聯邦國際機場,"4","1159123657"
"POINT (73.1007936471882 33.6074457507526)","6",Airport,major and military,Benazir Bhutto Int'l,ISB,terminal,OPRN,ISB,http://en.wikipedia.org/wiki/Islamabad_International_Airport,20.000,,Q816717,مطار بينظير بوتو الدولي,বেনজির ভুট্টো আন্তর্জাতিক বিমানবন্দর,Benazir Bhutto International Airport,Islamabad International AirPort,Aeropuerto Internacional Benazir Bhutto,aéroport international Benazir Bhutto,,बेनज़ीर भुट्टो अंतर्राष्ट्रीय हवाई अड्डा,,Bandar Udara Internasional Benazir Bhutto,Aeroporto Internazionale Benazir Bhutto,ベナジル・ブット国際空港,베나지르 부토 국제공항,Benazir Bhutto International Airport,Port lotniczy Islamabad,Aeroporto Internacional Benazir Bhutto,Исламабад,,,Sân bay quốc tế Benazir Bhutto,伊斯兰堡贝娜齐尔·布托国际机场,"4","1159123669"
"POINT (4.48464032408272 50.8972949641511)","5",Airport,major,Brussels,BRU,terminal,EBBR,BRU,http://en.wikipedia.org/wiki/Brussels_Airport,30.000,,Q28934,مطار بروكسل الدولي,,Flughafen Brüssel-Zaventem,Brussels Airport,Aeropuerto de Bruselas-National,aéroport de Bruxelles,Διεθνές Αεροδρόμιο Βρυξελλών,ब्रसल्स अन्तर्राष्ट्रीय विमानक्षेत्र,Brüsszeli repülőtér,Bandar Udara Internasional Brussel,aeroporto di Bruxelles-National,ブリュッセル国際空港,브뤼셀 공항,Brussels Airport,Port lotniczy Bruksela,Aeroporto de Bruxelas,Брюссель,Bryssel-Zaventem flygplats,Brüksel Havalimanı,Sân bay Brussels,布鲁塞尔机场,"4","1159123683"
"POINT (7.27025993974356 9.00437659781094)","5",Airport,major,Abuja Int'l,ABV,terminal,DNAA,ABV,http://en.wikipedia.org/wiki/Nnamdi_Azikiwe_International_Airport,30.000,,Q525030,مطار نامدي أزيكيوي الدولي,,Flughafen Abuja,Nnamdi Azikiwe International Airport,Aeropuerto Internacional Nnamdi Azikiwe,aéroport international Nnamdi Azikiwe,,,,Bandar Udara Internasional Nnamdi Azikiwe,Aeroporto Internazionale Nnamdi Azikwe,ンナムディ・アジキウェ国際空港,은남디 아지키웨 국제공항,Nnamdi Azikiwe International Airport,Port lotniczy Abudża,Aeroporto Internacional Nnamdi Azikiwe,,,,Sân bay quốc tế Nnamdi Azikiwe,纳姆迪·阿齐基韦国际机场,"4","1159123699"
"POINT (-124.107065520139 40.9719245381314)","5",Airport,mid,Arcata-Eureka,ACV,terminal,KACV,ACV,http://en.wikipedia.org/wiki/Arcata-Eureka_Airport,30.000,,Q1430853,,,Flughafen Arcata-Eureka,Arcata-Eureka Airport,Aeropuerto de Arcata-Eureka,aéroport d'Arcata-Eureka,,,,,,アーケータ＝ユーレカ空港,,Arcata-Eureka Airport,Port lotniczy Arcata-Eureka,,Arcata-Eureka Airport,,,,阿克塔,"4","1159123711"
"POINT (-97.6668367646054 30.2021081920749)","5",Airport,major,Austin-Bergstrom Int'l,AUS,terminal,KAUS,AUS,http://en.wikipedia.org/wiki/Austin-Bergstrom_International_Airport,30.000,,Q1430913,مطار أوستن برغستروم الدولي,,Flughafen Austin-Bergstrom International,Austin-Bergstrom International Airport,Aeropuerto Internacional de Austin-Bergstrom,aéroport international Austin-Bergstrom,Διεθνής αερολιμένας Ώστιν–Μπέργστρομ,,,,Aeroporto Internazionale di Austin-Bergstrom,オースチン・バーグストロム国際空港,오스틴 버그스트롬 국제공항,Austin-Bergstrom International Airport,Port lotniczy Austin-Bergstrom,Aeroporto Internacional de Austin-Bergstrom,Остин Бергстром,,Austin-Bergstrom Uluslararası Havalimanı,Sân bay quốc tế Austin-Bergstrom,奥斯汀－伯格斯特国际机场,"4","1159123731"
"POINT (30.8025526439415 36.9153233051868)","5",Airport,major,Antalya,AYT,terminal,LTAI,AYT,http://en.wikipedia.org/wiki/Antalya_Airport,30.000,,Q827480,مطار أنطاليا,,Flughafen Antalya,Antalya International Airport,Aeropuerto de Antalya,aéroport d'Antalya,,,,Bandar Udara Antalya,Aeroporto di Adalia,アンタルヤ空港,안탈리아 공항,Luchthaven Antalya,Port lotniczy Antalya,Aeroporto de Antália,Анталья,Antalya flygplats,Antalya Uluslararası Havalimanı,Sân bay Antalya,安塔利亚机场,"4","1159123747"
"POINT (-6.21616943734958 54.6615575470103)","5",Airport,major,Belfast Int'l,BFS,terminal,EGAA,BFS,http://en.wikipedia.org/wiki/Belfast_International_Airport,30.000,,Q8979,,,Belfast International Airport,Belfast International Airport,Aeropuerto Internacional de Belfast,aéroport international de Belfast,,,,Bandar Udara Internasional Belfast,Aeroporto Internazionale di Belfast,ベルファスト国際空港,,Belfast International Airport,Port lotniczy Belfast-International,Aeroporto Internacional de Belfast,Белфаст,Belfast International Airport,,Sân bay quốc tế Belfast,贝尔法斯特国际机场,"4","1159123759"
